id,name,reader_id,abonement,read_hall,received,lost,released,author,give_point,order_date,edition,receive_date
1,fFSBvRnvrA,47,1,2,2017,0,2006,Norma Spencer,4,2017-11-18 00:00:00,5,2017-12-07 00:00:00
2,XcnPdDZPZO,17,2,1,2017,0,2004,Charles Capito,4,2019-06-23 00:00:00,6,2019-07-09 00:00:00
3,EDKmNdIfOF,92,1,9,2019,0,2001,Angelina Washington,4,2017-10-23 00:00:00,8,2017-11-20 00:00:00
4,IMlzGuxcaH,42,2,8,2019,0,2002,Frank Haggard,2,2019-03-16 00:00:00,8,2019-04-08 00:00:00
5,PbqUoDenDN,90,2,5,2016,2019,1998,Lori Branch,1,1000-01-01 00:00:00,6,1000-01-01 00:00:00
6,IgIwUsIOCw,68,2,5,2016,2017,1997,Maria Brown,4,2018-09-28 00:00:00,2,2018-10-07 00:00:00
7,FGfRdSCJdx,128,3,7,2016,2017,1994,Tommy Clark,3,2019-04-24 00:00:00,4,2019-04-26 00:00:00
8,QxqZuEtClA,122,2,4,2019,0,2009,Betty Wright,4,1000-01-01 00:00:00,5,1000-01-01 00:00:00
9,ipVSfmtxmK,32,4,5,2017,0,1995,Dwayne Rudy,2,2018-07-02 00:00:00,3,2018-07-13 00:00:00
10,oYZyEUdXes,60,2,2,2019,0,1999,Tommy Clark,3,2019-12-13 00:00:00,1,2020-01-11 00:00:00
11,NxgQeBsbNJ,7,2,7,2017,0,1996,Betty Thompson,5,2019-09-16 00:00:00,9,2019-10-11 00:00:00
12,JWNEmuuVFe,14,3,1,2018,0,1998,Robert Gregory,5,1000-01-01 00:00:00,5,1000-01-01 00:00:00
13,nHGEHvnHtM,78,1,8,2018,0,2001,Richard Mendoza,4,1000-01-01 00:00:00,3,1000-01-01 00:00:00
14,hXwOLtTYKu,52,1,7,2016,2018,1996,Georgia Harrison,3,1000-01-01 00:00:00,9,1000-01-01 00:00:00
15,tKRUnrbpJk,32,2,4,2016,0,1994,Lori Mcvey,5,2019-06-26 00:00:00,8,2019-07-25 00:00:00
16,tKRUnrbpJk,90,4,9,2018,0,2001,Gary Fontaine,2,2017-11-07 00:00:00,5,2017-11-10 00:00:00
17,FGfRdSCJdx,120,2,8,2017,0,2001,Donald Martin,4,2018-09-07 00:00:00,4,2018-10-08 00:00:00
18,DqhpYwumjd,108,2,7,2017,0,1995,Suzanne Carlson,4,2017-06-17 00:00:00,6,2017-06-19 00:00:00
19,jneIECGHZA,122,4,6,2016,0,1994,Chung Brodeur,3,1000-01-01 00:00:00,1,1000-01-01 00:00:00
20,prhchyPiAq,16,3,8,2018,0,1990,Anna Kidwell,1,1000-01-01 00:00:00,6,1000-01-01 00:00:00
21,WckkxOTmQd,112,1,9,2019,0,2006,Ricky Damon,5,1000-01-01 00:00:00,4,1000-01-01 00:00:00
22,AxydZcPDJE,80,3,7,2017,2019,1997,Jesus Oleksy,5,2019-02-23 00:00:00,9,2019-02-28 00:00:00
23,BUVbKcuLVm,10,2,5,2017,0,2005,Alex Vinson,2,2018-06-07 00:00:00,3,2018-06-27 00:00:00
24,hXwOLtTYKu,43,2,2,2016,2017,1994,Camille Guzman,3,2019-07-05 00:00:00,1,2019-07-21 00:00:00
25,YpUmmXnhpu,43,4,7,2019,2022,2009,Tracy Haines,3,2019-03-12 00:00:00,3,2019-04-06 00:00:00
26,iWPULghhJc,52,2,3,2019,0,2004,Rose Thompson,3,1000-01-01 00:00:00,1,1000-01-01 00:00:00
27,NcZKGsMiYH,2,1,8,2018,0,2005,Angelina Washington,3,2019-03-11 00:00:00,5,2019-03-18 00:00:00
28,QCCFvZucFt,46,1,1,2016,0,2003,Betty Thompson,2,2018-02-24 00:00:00,3,2018-03-04 00:00:00
29,oYZyEUdXes,31,3,9,2017,0,1990,Donna Friedman,3,2019-04-30 00:00:00,7,2019-05-10 00:00:00
30,JDcIPhTYzS,144,2,4,2016,0,1997,Forrest Brady,3,2019-04-03 00:00:00,3,2019-04-25 00:00:00
31,vmPEljegKG,3,2,2,2019,0,2003,Violet Ponce,4,1000-01-01 00:00:00,2,1000-01-01 00:00:00
32,waRlCEJzdU,127,2,5,2017,2020,2005,Bobby Adams,5,2019-05-15 00:00:00,2,2019-05-23 00:00:00
33,nHGEHvnHtM,144,3,3,2017,0,2004,Phil Brown,1,1000-01-01 00:00:00,9,1000-01-01 00:00:00
34,ahxIUzrHhw,8,2,8,2019,0,1993,Richard Mendoza,5,2018-11-22 00:00:00,9,2018-12-11 00:00:00
35,tKRUnrbpJk,81,2,9,2018,2020,1995,Dwayne Rudy,5,2017-10-11 00:00:00,2,2017-10-23 00:00:00
36,NwphVIVBsi,76,3,2,2018,2020,2005,Rita Avery,4,1000-01-01 00:00:00,9,1000-01-01 00:00:00
37,NxgQeBsbNJ,121,1,3,2018,0,2003,Juan Caraway,5,2018-04-28 00:00:00,6,2018-05-28 00:00:00
38,nGyimeifvr,96,2,7,2019,0,1994,Jesus Oleksy,1,2018-04-19 00:00:00,7,2018-04-30 00:00:00
39,ppsqGwZgHF,99,2,9,2019,0,2001,Martin Scerra,5,1000-01-01 00:00:00,6,1000-01-01 00:00:00
40,amCtvCfbEy,31,3,3,2017,0,1990,Mary Myers,3,2018-01-02 00:00:00,4,2018-01-08 00:00:00
41,AxydZcPDJE,140,2,4,2019,0,1990,Gary Fontaine,4,2017-07-18 00:00:00,4,2017-08-05 00:00:00
42,MnhPUXtOLj,62,3,6,2018,2019,1993,Marc Uplinger,5,2019-10-26 00:00:00,4,2019-11-24 00:00:00
43,KwwSWeIfEl,101,4,1,2019,0,1995,Daryl Edwards,2,2019-06-22 00:00:00,9,2019-07-01 00:00:00
44,amCtvCfbEy,110,4,4,2018,0,2006,Annie Perez,4,2019-04-15 00:00:00,6,2019-04-26 00:00:00
45,NwphVIVBsi,134,3,3,2018,0,1999,Robert Gregory,2,1000-01-01 00:00:00,7,1000-01-01 00:00:00
46,fFSBvRnvrA,134,1,8,2018,2019,1997,Dwayne Rudy,3,2019-03-25 00:00:00,8,2019-03-30 00:00:00
47,DuvobJevyx,64,3,1,2016,0,1991,Donald Crumb,1,2019-06-03 00:00:00,1,2019-06-19 00:00:00
48,pLqDtiCQsH,45,2,8,2016,2017,1998,Patsy Stockbridge,2,1000-01-01 00:00:00,5,1000-01-01 00:00:00
49,gVsKYzhhcv,63,3,1,2016,0,2002,Angelina Washington,3,2017-09-16 00:00:00,1,2017-09-20 00:00:00
50,zHwdWDAjcQ,117,1,2,2016,0,1997,Jerome Collier,3,2019-05-22 00:00:00,7,2019-06-11 00:00:00
51,IMlzGuxcaH,63,3,1,2019,2020,2003,Jason Bobo,3,1000-01-01 00:00:00,2,1000-01-01 00:00:00
52,AkYFXFZVDr,84,4,8,2017,2019,2008,Rita Avery,5,1000-01-01 00:00:00,3,1000-01-01 00:00:00
53,aVZQRArCfp,55,2,7,2018,0,1997,Scott Mckinney,5,1000-01-01 00:00:00,8,1000-01-01 00:00:00
54,EDKmNdIfOF,149,2,8,2019,0,1997,Susana Delagarza,2,1000-01-01 00:00:00,7,1000-01-01 00:00:00
55,vSiqFVBxQk,57,3,9,2016,2018,2008,Guadalupe Johnson,3,2018-10-23 00:00:00,7,2018-11-23 00:00:00
56,uhjVITIEJl,103,4,9,2019,0,1995,Charles Jacks,1,1000-01-01 00:00:00,3,1000-01-01 00:00:00
57,wUORXYwuCr,4,4,2,2019,0,1991,Antonio Letourneau,3,2018-03-25 00:00:00,5,2018-04-10 00:00:00
58,DuvobJevyx,110,4,7,2019,0,2000,Rita Avery,3,2017-08-13 00:00:00,6,2017-08-21 00:00:00
59,GErjWhkibJ,15,4,4,2018,0,1997,Mary Loveless,4,2018-09-30 00:00:00,2,2018-10-09 00:00:00
60,nHGEHvnHtM,40,1,9,2016,2017,2004,Irene Molloy,5,1000-01-01 00:00:00,4,1000-01-01 00:00:00
61,IPTPWTrIyO,73,2,4,2018,0,2003,Courtney Rogers,2,2018-05-30 00:00:00,1,2018-06-30 00:00:00
62,mlgSGyfYmU,83,2,8,2017,0,2009,George Ramos,2,1000-01-01 00:00:00,2,1000-01-01 00:00:00
63,IgnWcZWAyC,67,2,5,2017,0,2009,Robert Kepler,2,2018-02-13 00:00:00,1,2018-02-16 00:00:00
64,xwjGqrjjsk,149,3,7,2017,0,1993,Lori Branch,3,2019-11-22 00:00:00,4,2019-12-19 00:00:00
65,wfhpfwIZrb,43,1,8,2019,0,2008,Dorothy Mutchler,2,1000-01-01 00:00:00,7,1000-01-01 00:00:00
66,YCEhJOYLts,141,2,2,2019,0,2005,Reginald Bender,2,2018-01-17 00:00:00,6,2018-02-15 00:00:00
67,gVsKYzhhcv,146,4,9,2019,0,2004,Barton Rose,3,2019-07-09 00:00:00,9,2019-07-10 00:00:00
68,IMlzGuxcaH,100,3,9,2017,0,1997,Scott Mckinney,5,1000-01-01 00:00:00,3,1000-01-01 00:00:00
69,ImjbsxFjaH,62,3,9,2017,0,2009,Maria Brown,2,1000-01-01 00:00:00,3,1000-01-01 00:00:00
70,qxHpMIdEuo,82,4,2,2018,2021,1998,Felipe Hertel,1,1000-01-01 00:00:00,7,1000-01-01 00:00:00
71,seTMtYJVyE,54,1,3,2017,2018,2009,Courtney Rogers,3,2017-12-16 00:00:00,6,2017-12-21 00:00:00
72,wfnsfZHiUq,144,4,7,2018,0,2008,Janet Jenkins,3,2019-04-30 00:00:00,5,2019-05-03 00:00:00
73,EEatNodEmN,66,3,1,2016,0,1998,Lori Mcvey,2,2017-09-12 00:00:00,1,2017-09-28 00:00:00
74,ppsqGwZgHF,144,2,8,2016,0,2005,Margaret Mcdaniel,2,2018-09-29 00:00:00,9,2018-10-14 00:00:00
75,vSiqFVBxQk,102,4,4,2016,2017,2001,Mary Loveless,3,1000-01-01 00:00:00,7,1000-01-01 00:00:00
76,pLVMidMRYH,79,1,2,2019,0,1998,George Ramos,4,2018-10-30 00:00:00,5,2018-11-25 00:00:00
77,nBmnQeebxp,141,1,3,2016,2018,2000,Timothy Fox,2,1000-01-01 00:00:00,2,1000-01-01 00:00:00
78,gVsKYzhhcv,136,1,4,2016,0,1994,Kelley Nation,2,2019-07-15 00:00:00,1,2019-08-13 00:00:00
79,JHubwWxvLO,16,4,1,2017,2018,2004,Donna Friedman,1,2019-03-27 00:00:00,1,2019-04-02 00:00:00
80,EDKmNdIfOF,37,2,5,2016,0,2003,Donna Friedman,2,1000-01-01 00:00:00,7,1000-01-01 00:00:00
81,tQbzhAsnkJ,71,2,8,2017,2020,1992,Jason Crieghton,4,1000-01-01 00:00:00,9,1000-01-01 00:00:00
82,KJJopjwOYb,29,1,5,2019,0,2005,Annie Rymer,4,2018-09-12 00:00:00,1,2018-10-01 00:00:00
83,aVZQRArCfp,130,3,4,2017,0,2001,Henry Zurawski,2,2017-07-30 00:00:00,7,2017-08-30 00:00:00
84,NJmpDrPgWq,3,3,1,2019,2022,2004,Margaret Mcdaniel,3,1000-01-01 00:00:00,5,1000-01-01 00:00:00
85,GBPLmxQaJu,88,1,6,2017,2018,2002,Nicholas Cobb,3,1000-01-01 00:00:00,3,1000-01-01 00:00:00
86,mlgSGyfYmU,83,2,9,2019,0,2006,Barton Rose,4,2018-05-08 00:00:00,6,2018-05-25 00:00:00
87,wUORXYwuCr,13,3,6,2017,0,1998,Lisa Velasco,3,2019-03-12 00:00:00,3,2019-03-28 00:00:00
88,snJubEmlTU,131,1,8,2017,0,1995,Chung Brodeur,4,2019-03-01 00:00:00,6,2019-03-05 00:00:00
89,loZRRnfWKU,91,3,7,2016,0,2008,Fredrick Eppler,2,2017-06-18 00:00:00,1,2017-07-15 00:00:00
90,vMsHGGOIIC,14,4,6,2018,0,2000,George Ramos,1,1000-01-01 00:00:00,3,1000-01-01 00:00:00
91,qdeUxdCpZV,143,3,1,2018,0,1991,Sunshine Motl,1,1000-01-01 00:00:00,8,1000-01-01 00:00:00
92,aVZQRArCfp,69,3,6,2019,0,1993,Janet Jenkins,4,2019-05-04 00:00:00,9,2019-05-25 00:00:00
93,FGfRdSCJdx,120,1,7,2019,2020,1997,Pattie Pierce,4,2017-11-12 00:00:00,9,2017-12-13 00:00:00
94,YCEhJOYLts,38,3,9,2019,0,2005,Angelina Washington,4,2017-11-22 00:00:00,5,2017-12-05 00:00:00
95,QqxwiQZmIz,9,3,4,2017,2020,2005,Kathleen Heinz,4,2019-08-06 00:00:00,6,2019-08-14 00:00:00
